,index,PlayerHeight,PlayerWeight,Yards,Down,YardLine,Distance,Week,Temperature,Humidity,HomeScoreBeforePlay,VisitorScoreBeforePlay,Position
141,3316,69,205,2,2,11,9,1,68.0,43.0,0,3,HB
142,3327,70,225,4,2,26,10,1,68.0,43.0,0,3,RB
143,3360,73,230,7,1,40,10,1,68.0,43.0,0,3,RB
144,3373,70,225,1,1,24,10,1,68.0,43.0,0,3,RB
145,3394,70,225,10,2,25,9,1,68.0,43.0,0,3,RB
146,3419,72,222,4,1,49,10,1,68.0,43.0,0,3,RB
147,3441,72,222,1,1,43,16,1,68.0,43.0,0,3,RB
148,3470,69,205,4,1,13,10,1,68.0,43.0,0,10,HB
149,3481,70,225,2,1,2,2,1,68.0,43.0,0,10,RB
150,3514,69,205,5,2,25,10,1,68.0,43.0,0,17,HB
151,3529,72,222,7,1,37,10,1,68.0,43.0,0,17,RB
152,3551,72,222,17,3,34,13,1,68.0,43.0,0,17,RB
153,3603,73,230,3,1,26,10,1,68.0,43.0,0,17,RB
154,3625,73,230,2,1,14,10,1,68.0,43.0,0,17,RB
155,3637,70,225,7,1,12,10,1,68.0,43.0,0,17,RB
156,3657,70,225,2,2,19,3,1,68.0,43.0,0,17,RB
157,3681,70,225,7,3,21,1,1,68.0,43.0,0,17,RB
158,3705,72,222,6,1,43,10,1,68.0,43.0,0,17,RB
159,3726,72,222,3,2,49,4,1,68.0,43.0,0,17,RB
160,3746,70,225,2,3,48,1,1,68.0,43.0,0,17,RB
161,3769,70,225,2,1,46,10,1,68.0,43.0,0,17,RB
162,3793,72,222,4,2,44,8,1,68.0,43.0,0,17,RB
163,3815,72,222,6,3,40,4,1,68.0,43.0,0,17,RB
164,3837,72,222,0,1,34,10,1,68.0,43.0,0,17,RB
165,3855,70,225,4,2,34,10,1,68.0,43.0,0,17,RB
166,3881,72,222,7,1,23,10,1,68.0,43.0,0,17,RB
167,3902,72,222,1,2,16,3,1,68.0,43.0,0,17,RB
168,3922,70,225,3,2,10,10,1,68.0,43.0,0,17,RB
169,3944,70,225,11,1,15,10,1,68.0,43.0,0,20,RB
170,3964,70,225,2,1,26,10,1,68.0,43.0,0,20,RB
171,3991,72,222,-3,2,28,8,1,68.0,43.0,0,20,RB
172,4013,72,222,4,3,20,16,1,68.0,43.0,0,20,RB
173,4047,73,220,1,2,44,10,1,68.0,43.0,0,20,HB
174,4054,70,225,4,1,8,10,1,68.0,43.0,0,20,RB
175,4076,70,225,8,2,7,11,1,68.0,43.0,0,20,RB
176,4101,72,222,-2,3,15,3,1,68.0,43.0,0,20,RB
177,4122,72,222,-1,1,14,10,1,68.0,43.0,0,20,RB
178,4144,72,222,2,2,13,11,1,68.0,43.0,0,20,RB
179,4167,72,222,8,3,15,9,1,68.0,43.0,0,20,RB
180,4201,73,220,3,1,42,10,1,68.0,43.0,0,20,HB
181,4223,73,220,4,1,50,10,1,68.0,43.0,0,20,HB
182,4233,72,222,-2,1,44,10,1,68.0,43.0,0,20,RB
183,4254,72,222,7,2,42,12,1,68.0,43.0,0,20,RB
184,4276,72,222,2,3,49,5,1,68.0,43.0,0,20,RB
185,4311,73,220,-4,1,13,10,1,68.0,43.0,0,20,HB
186,4333,73,220,-5,2,9,14,1,68.0,43.0,0,20,HB
187,4349,71,225,-9,2,26,9,1,63.0,53.0,0,0,RB
188,4372,71,225,4,3,12,23,1,63.0,53.0,0,0,RB
189,4394,71,225,5,1,25,10,1,63.0,53.0,0,7,RB
190,4416,71,225,3,2,30,5,1,63.0,53.0,0,7,RB
191,4438,71,225,1,2,23,12,1,63.0,53.0,0,7,RB
192,4460,71,225,2,1,32,10,1,63.0,53.0,0,7,RB
193,4481,71,225,6,1,48,10,1,63.0,53.0,0,7,RB
194,4509,69,205,3,2,34,2,1,63.0,53.0,0,7,RB
195,4525,71,225,1,1,31,10,1,63.0,53.0,0,7,RB
196,4548,71,225,2,1,3,3,1,63.0,53.0,0,7,RB
197,4560,73,225,0,2,25,10,1,63.0,53.0,7,7,RB
198,4582,73,225,3,2,39,15,1,63.0,53.0,7,7,RB
199,4614,71,225,-1,1,40,10,1,63.0,53.0,7,7,RB
200,4629,73,233,1,1,6,10,1,63.0,53.0,7,7,RB
201,4648,73,225,0,3,21,1,1,63.0,53.0,7,7,RB
202,4679,71,225,1,1,41,10,1,63.0,53.0,7,7,RB
203,4702,71,225,1,1,36,10,1,63.0,53.0,7,7,RB
204,4724,71,225,3,2,37,9,1,63.0,53.0,7,7,RB
205,4736,73,225,5,2,9,9,1,63.0,53.0,7,7,RB
206,4773,69,205,3,1,11,10,1,63.0,53.0,7,14,RB
207,4790,71,225,4,1,36,10,1,63.0,53.0,7,14,RB
208,4812,71,225,2,1,11,10,1,63.0,53.0,7,14,RB
209,4824,73,225,2,1,39,10,1,63.0,53.0,10,14,RB
210,4846,73,225,1,1,8,8,1,63.0,53.0,10,14,RB
211,4868,73,225,5,2,7,7,1,63.0,53.0,10,14,RB
212,4900,71,225,6,1,50,10,1,63.0,53.0,10,21,RB
213,4916,73,233,5,2,36,8,1,63.0,53.0,10,21,RB
214,4938,73,233,4,1,50,10,1,63.0,53.0,10,21,RB
215,4960,73,233,1,1,30,10,1,63.0,53.0,10,21,RB
216,4977,73,225,1,1,24,10,1,63.0,53.0,10,21,RB
217,5000,73,225,0,3,31,21,1,63.0,53.0,10,21,RB
218,5037,69,205,1,1,11,10,1,63.0,53.0,10,21,RB
219,5043,73,225,15,1,44,10,1,63.0,53.0,18,21,RB
220,5069,73,224,2,2,27,6,1,68.0,70.0,0,0,RB
221,5091,73,224,-2,1,44,10,1,68.0,70.0,0,0,RB
222,5124,69,203,5,1,26,10,1,68.0,70.0,0,0,RB
223,5145,69,203,0,1,15,10,1,68.0,70.0,0,7,RB
224,5157,73,224,6,2,36,7,1,68.0,70.0,0,7,RB
225,5178,73,224,0,3,42,1,1,68.0,70.0,0,7,RB
226,5201,73,224,1,1,13,10,1,68.0,70.0,0,7,RB
227,5223,73,224,1,2,3,3,1,68.0,70.0,0,7,RB
228,5255,69,203,1,1,7,10,1,68.0,70.0,0,10,RB
229,5274,69,201,-1,1,17,10,1,68.0,70.0,0,10,RB
230,5299,69,203,3,1,38,10,1,68.0,70.0,0,10,RB
231,5311,73,224,3,2,22,10,1,68.0,70.0,0,10,RB
232,5344,69,203,5,1,48,20,1,68.0,70.0,0,10,RB
233,5366,73,223,5,1,29,10,1,68.0,70.0,0,10,RB
234,5387,69,203,3,2,13,4,1,68.0,70.0,0,10,RB
235,5410,73,223,6,3,10,1,1,68.0,70.0,0,10,RB
236,5431,69,203,-2,1,4,4,1,68.0,70.0,0,10,RB
237,5454,69,203,-4,1,38,10,1,68.0,70.0,6,10,RB
238,5465,73,224,3,2,26,10,1,68.0,70.0,6,10,RB
239,5498,73,223,0,1,25,10,1,68.0,70.0,9,10,RB
240,5519,69,203,2,1,40,10,1,68.0,70.0,9,10,RB
241,5531,73,224,3,1,6,10,1,68.0,70.0,9,10,RB
242,5551,68,198,4,1,25,10,1,68.0,70.0,9,10,RB
243,5595,68,198,3,1,3,3,1,68.0,70.0,9,10,RB
244,5629,69,203,2,1,47,10,1,68.0,70.0,9,17,RB
245,5641,73,224,5,1,21,10,1,68.0,70.0,9,17,RB
246,5674,73,223,3,1,10,10,1,68.0,70.0,9,17,RB
247,5683,68,198,1,2,33,2,1,68.0,70.0,15,17,RB
248,5705,68,198,1,3,34,1,1,68.0,70.0,15,17,RB
249,5727,68,198,1,1,30,15,1,68.0,70.0,15,17,RB
250,5761,69,203,4,1,34,10,1,68.0,70.0,15,17,RB
251,5784,69,203,1,1,14,10,1,68.0,70.0,15,17,RB
252,5805,69,203,-2,1,8,8,1,68.0,70.0,15,17,RB
253,5827,69,203,7,1,28,10,1,68.0,70.0,21,17,RB
254,5849,69,203,5,2,35,3,1,68.0,70.0,21,17,RB
255,5894,73,223,6,1,44,10,1,68.0,70.0,35,23,RB
256,5916,73,223,2,2,38,4,1,68.0,70.0,35,23,RB
257,5927,72,228,4,1,20,15,1,80.0,49.0,0,0,RB
258,5949,72,228,9,2,24,11,1,80.0,49.0,0,0,RB
259,5975,70,221,1,1,25,10,1,80.0,49.0,0,3,RB
260,5993,72,228,3,1,38,10,1,80.0,49.0,0,3,RB
261,6015,72,228,2,2,41,7,1,80.0,49.0,0,3,RB
262,6048,70,185,6,1,20,10,1,80.0,49.0,0,3,RB
263,6063,70,221,6,1,34,10,1,80.0,49.0,0,3,RB
264,6085,70,221,-1,2,40,4,1,80.0,49.0,0,3,RB
265,6107,70,221,-1,1,50,10,1,80.0,49.0,0,3,RB
266,6125,72,228,11,1,28,10,1,80.0,49.0,0,3,RB
267,6147,72,228,6,1,39,10,1,80.0,49.0,0,3,RB
268,6162,72,223,17,1,37,10,1,80.0,49.0,0,3,RB
269,6184,72,223,12,1,30,20,1,80.0,49.0,0,3,RB
270,6212,72,228,-1,1,9,9,1,80.0,49.0,0,3,RB
271,6234,72,228,3,2,10,10,1,80.0,49.0,0,3,RB
272,6267,70,185,-2,1,30,10,1,80.0,49.0,0,6,RB
273,6279,72,228,-1,1,30,5,1,80.0,49.0,0,6,RB
274,6301,72,228,4,2,29,6,1,80.0,49.0,0,6,RB
275,6335,73,236,4,1,33,10,1,80.0,49.0,0,6,RB
276,6345,72,228,4,1,19,10,1,80.0,49.0,0,6,RB
277,6367,72,228,-1,2,23,6,1,80.0,49.0,0,6,RB
278,6393,70,221,3,1,47,10,1,80.0,49.0,0,6,RB
279,6411,72,228,4,2,47,4,1,80.0,49.0,0,6,RB
280,6426,72,223,2,1,16,10,1,80.0,49.0,0,6,RB
281,6455,72,228,4,2,14,8,1,80.0,49.0,0,6,RB
282,6477,72,228,3,1,5,5,1,80.0,49.0,0,6,RB
283,6499,72,228,1,2,2,2,1,80.0,49.0,0,6,RB
284,6515,73,246,0,3,1,1,1,80.0,49.0,0,6,FB
285,6543,72,228,1,4,1,1,1,80.0,49.0,0,6,RB
286,6569,70,221,7,1,25,10,1,80.0,49.0,0,19,RB
287,6591,70,221,7,1,25,10,1,80.0,49.0,0,19,RB
288,6613,70,221,0,2,32,3,1,80.0,49.0,0,19,RB
289,6635,70,221,2,1,40,10,1,80.0,49.0,0,19,RB
290,6657,70,221,7,1,50,10,1,80.0,49.0,0,19,RB
291,6684,70,185,4,2,24,1,1,80.0,49.0,0,19,RB
292,6690,72,223,7,1,25,10,1,80.0,49.0,7,19,RB
293,6712,72,223,1,1,48,10,1,80.0,49.0,7,19,RB
294,6734,72,223,1,2,47,9,1,80.0,49.0,7,19,RB
295,6762,72,228,7,1,33,10,1,80.0,49.0,7,19,RB
296,6785,72,228,1,2,2,1,1,80.0,49.0,7,19,RB
297,6811,70,221,4,1,25,10,1,80.0,49.0,7,26,RB
298,6832,70,221,2,1,36,10,1,80.0,49.0,7,26,RB
299,6854,70,221,8,1,46,10,1,80.0,49.0,7,26,RB
300,6876,70,221,5,3,46,2,1,80.0,49.0,7,26,RB
301,6898,70,221,3,2,38,7,1,80.0,49.0,7,26,RB
302,6917,72,228,4,1,41,10,1,80.0,49.0,7,26,RB
303,6939,72,228,17,2,45,6,1,80.0,49.0,7,26,RB
304,6954,72,223,1,1,38,10,1,80.0,49.0,7,26,RB
305,6976,72,223,0,2,37,9,1,80.0,49.0,7,26,RB
306,7004,72,228,5,1,26,10,1,80.0,49.0,7,26,RB
307,7030,70,221,4,2,38,1,1,80.0,49.0,7,26,RB
308,7049,72,228,1,1,25,10,1,80.0,49.0,7,26,RB
309,7071,72,228,3,2,26,9,1,80.0,49.0,7,26,RB
310,7093,72,228,2,1,27,10,1,80.0,49.0,7,26,RB
311,7109,72,223,1,2,25,8,1,80.0,49.0,7,26,RB
312,7137,72,228,4,3,24,7,1,80.0,49.0,7,26,RB
313,7162,70,221,8,1,11,10,1,80.0,49.0,7,29,RB
314,7176,71,215,14,2,44,4,1,72.0,50.0,0,0,RB
315,7206,73,220,5,1,44,10,1,72.0,50.0,0,7,RB
316,7228,73,220,5,2,49,5,1,72.0,50.0,0,7,RB
317,7250,73,220,2,1,46,10,1,72.0,50.0,0,7,RB
318,7272,73,220,1,1,35,10,1,72.0,50.0,0,7,RB
319,7294,73,220,1,2,34,9,1,72.0,50.0,0,7,RB
320,7308,71,215,4,1,25,10,1,72.0,50.0,7,7,RB
321,7352,71,215,3,1,40,10,1,72.0,50.0,7,7,RB
322,7373,71,215,5,1,12,10,1,72.0,50.0,7,7,RB
323,7396,71,215,2,3,5,3,1,72.0,50.0,7,7,RB
324,7418,71,215,1,4,3,1,1,72.0,50.0,7,7,RB
325,7448,73,220,0,1,25,10,1,72.0,50.0,7,10,RB
326,7477,75,247,5,2,25,10,1,72.0,50.0,7,10,RB
327,7490,68,210,0,1,14,10,1,72.0,50.0,7,10,RB
328,7512,68,210,4,1,28,10,1,72.0,50.0,7,10,RB
329,7534,68,207,2,1,38,10,1,72.0,50.0,7,10,RB
330,7556,68,207,2,1,43,10,1,72.0,50.0,7,10,RB
331,7588,75,247,3,1,2,10,1,72.0,50.0,7,10,RB
332,7610,75,247,2,2,5,7,1,72.0,50.0,7,10,RB
333,7633,75,247,2,1,31,10,1,72.0,50.0,7,10,RB
334,7654,75,247,8,1,27,10,1,72.0,50.0,7,10,RB
335,7676,75,247,5,1,25,10,1,72.0,50.0,10,13,RB
336,7690,73,220,-2,2,47,6,1,72.0,50.0,10,13,RB
337,7704,71,215,7,2,9,10,1,72.0,50.0,10,13,RB
338,7734,73,220,-1,1,20,10,1,72.0,50.0,10,13,RB
339,7747,71,215,2,1,37,10,1,72.0,50.0,10,13,RB
340,7776,68,207,2,2,34,10,1,72.0,50.0,10,13,RB
341,7800,73,220,6,2,31,4,1,72.0,50.0,10,16,RB
342,7822,73,220,21,2,36,6,1,72.0,50.0,10,16,RB
343,7844,73,220,-1,3,7,2,1,72.0,50.0,10,16,RB
344,7858,71,215,12,1,41,10,1,72.0,50.0,13,16,RB
345,7880,71,215,4,1,47,10,1,72.0,50.0,13,16,RB
346,7908,68,210,0,1,20,10,1,72.0,50.0,13,23,RB
347,7923,71,215,1,1,48,10,1,72.0,50.0,13,23,RB
348,7945,71,215,3,2,49,9,1,72.0,50.0,13,23,RB
349,7976,73,220,7,1,20,10,1,72.0,50.0,13,23,RB
350,7990,71,215,4,1,41,10,1,72.0,50.0,16,23,RB
351,8012,71,215,3,2,45,6,1,72.0,50.0,16,23,RB
352,8040,68,207,7,3,48,3,1,72.0,50.0,16,23,RB
353,8062,68,207,9,1,45,10,1,72.0,50.0,16,23,RB
354,8078,71,215,5,2,36,1,1,72.0,50.0,16,23,RB
355,8100,71,215,2,1,31,10,1,72.0,50.0,16,23,RB
356,8122,71,215,6,2,29,8,1,72.0,50.0,16,23,RB
357,8144,71,215,-2,3,23,2,1,72.0,50.0,16,23,RB
358,8177,68,195,-1,2,16,10,1,67.0,54.0,0,0,RB
359,8205,72,229,-1,1,27,10,1,67.0,54.0,0,0,RB
360,8227,72,229,4,1,41,10,1,67.0,54.0,0,7,RB
361,8228,72,247,6,1,43,19,1,67.0,54.0,0,7,RB
362,8259,70,208,1,1,35,10,1,67.0,54.0,0,7,RB
363,8293,72,229,4,1,40,20,1,67.0,54.0,0,7,RB
364,8294,72,247,4,1,13,10,1,67.0,54.0,0,7,RB
365,8316,72,247,5,2,17,6,1,67.0,54.0,0,7,RB
366,8338,72,247,-2,3,22,1,1,67.0,54.0,0,7,RB
367,8360,72,247,4,2,32,3,1,67.0,54.0,0,7,RB
368,8382,72,247,6,1,14,10,1,67.0,54.0,0,7,RB
369,8404,72,247,2,1,3,3,1,67.0,54.0,0,7,RB
370,8447,72,229,6,1,24,10,1,67.0,54.0,0,13,RB
371,8469,72,229,2,2,30,4,1,67.0,54.0,0,13,RB
372,8491,72,229,-1,1,36,10,1,67.0,54.0,0,13,RB
373,8507,68,195,1,2,35,11,1,67.0,54.0,0,13,RB
374,8514,72,247,7,1,25,10,1,67.0,54.0,7,13,RB
375,8545,70,208,2,1,37,10,1,67.0,54.0,7,13,RB
376,8579,72,229,4,1,43,10,1,67.0,54.0,7,13,RB
377,8595,68,195,4,1,33,10,1,67.0,54.0,7,13,RB
378,8604,66,190,0,2,25,10,1,67.0,54.0,14,13,RB
379,8624,72,247,0,1,36,10,1,67.0,54.0,14,16,RB
380,8667,72,229,4,1,23,10,1,67.0,54.0,14,19,RB
381,8689,72,229,6,1,28,10,1,67.0,54.0,14,19,RB
382,8690,72,247,5,2,34,26,1,67.0,54.0,17,19,RB
383,8733,72,229,2,1,48,10,1,67.0,54.0,17,19,RB
384,8736,66,190,2,1,15,10,1,67.0,54.0,17,19,RB
385,8756,72,247,0,1,26,10,1,67.0,54.0,17,19,RB
386,8786,70,208,3,1,49,10,1,67.0,54.0,17,19,RB
387,8808,70,208,-2,2,48,7,1,67.0,54.0,17,19,RB
388,8822,72,247,3,1,29,10,1,67.0,54.0,17,19,RB
389,8844,72,247,4,2,26,7,1,67.0,54.0,17,19,RB
390,8866,72,247,2,3,22,3,1,67.0,54.0,17,19,RB
391,8906,73,224,2,1,25,10,1,90.0,38.0,0,0,RB
392,8912,69,212,2,1,25,10,1,90.0,38.0,3,0,RB
393,8934,69,212,-2,2,27,8,1,90.0,38.0,3,0,RB
394,8956,69,212,4,1,30,10,1,90.0,38.0,10,0,RB
395,8978,69,212,8,1,25,10,1,90.0,38.0,10,0,RB
396,9007,72,210,-1,1,1,1,1,90.0,38.0,10,0,RB
397,9029,72,210,0,2,2,2,1,90.0,38.0,10,0,RB
398,9060,73,224,3,1,25,10,1,90.0,38.0,10,3,RB
399,9082,73,224,4,2,28,7,1,90.0,38.0,10,3,RB
400,9126,73,224,0,2,47,1,1,90.0,38.0,10,3,RB
401,9148,73,224,7,3,47,1,1,90.0,38.0,10,3,RB
402,9154,69,212,16,1,7,10,1,90.0,38.0,10,3,RB
403,9176,69,212,2,1,23,10,1,90.0,38.0,10,3,RB
404,9214,73,224,-3,1,39,15,1,90.0,38.0,10,3,RB
405,9242,69,212,2,1,23,10,1,90.0,38.0,10,3,RB
406,9279,73,224,1,1,6,6,1,90.0,38.0,10,3,RB
